counter,red_count,blue_count,total_count,average_radiation_level,total_radiation_level
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,0,0
132,0,0,0,0,0
133,0,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,0
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,1.0,1
154,0,0,0,2.0,2
155,0,0,0,3.0,3
156,0,0,0,4.0,4
157,0,0,0,5.0,5
158,0,0,0,6.0,6
159,0,0,0,7.0,7
160,0,0,0,8.0,8
161,0,0,0,9.0,9
162,0,0,0,10.0,10
163,0,0,0,11.0,11
164,0,0,0,12.0,12
165,0,0,0,13.0,13
166,0,0,0,14.0,14
167,0,0,0,15.0,15
168,0,0,0,16.0,16
169,0,0,0,17.0,17
170,0,0,0,18.0,18
171,0,0,0,19.0,19
172,0,0,0,20.0,20
173,0,0,0,21.0,21
174,0,0,0,22.0,22
175,0,0,0,23.0,23
176,0,0,0,24.0,24
177,0,0,0,25.0,25
178,0,0,0,26.0,26
179,0,0,0,27.0,27
180,0,0,0,28.0,28
181,0,0,0,29.0,29
182,0,0,0,30.0,30
183,0,0,0,31.0,31
184,0,0,0,32.0,32
185,0,0,0,33.0,33
186,0,0,0,34.0,34
187,0,0,0,35.0,35
188,0,0,0,36.0,36
189,0,0,0,37.0,37
190,0,0,0,38.0,38
191,0,0,0,39.0,39
192,0,0,0,40.0,40
193,0,0,0,41.0,41
194,0,0,0,42.0,42
195,0,0,0,43.0,43
196,0,0,0,44.0,44
197,0,0,0,45.0,45
198,0,0,0,46.0,46
199,0,0,0,47.0,47
200,0,0,0,48.0,48
201,0,0,0,49.0,49
202,0,0,0,50.0,50
203,0,0,0,51.0,51
204,0,0,0,52.0,52
205,0,0,0,53.0,53
206,0,0,0,54.0,54
207,0,0,0,55.0,55
208,0,0,0,56.0,56
209,0,0,0,57.0,57
210,0,0,0,58.0,58
211,0,0,0,59.0,59
212,0,0,0,60.0,60
213,0,0,0,61.0,61
214,0,0,0,62.0,62
215,0,0,0,63.0,63
216,0,0,0,64.0,64
217,0,0,0,65.0,65
218,0,0,0,66.0,66
219,0,0,0,67.0,67
220,0,0,0,68.0,68
221,0,0,0,69.0,69
222,0,0,0,70.0,70
223,0,0,0,71.0,71
224,0,0,0,72.0,72
225,0,0,0,73.0,73
226,0,0,0,74.0,74
227,0,0,0,75.0,75
228,0,0,0,76.0,76
229,0,0,0,77.0,77
230,0,0,0,78.0,78
231,0,0,0,79.0,79
232,0,0,0,80.0,80
233,0,0,0,81.0,81
234,0,0,0,82.0,82
235,0,0,0,83.0,83
236,0,0,0,84.0,84
237,0,0,0,85.0,85
238,0,0,0,86.0,86
239,0,0,0,87.0,87
240,1,0,1,88.0,88
241,1,0,1,88.0,88
242,1,0,1,88.0,88
243,1,0,1,88.0,88
244,1,0,1,88.0,88
245,1,0,1,88.0,88
246,1,0,1,88.0,88
247,1,0,1,88.0,88
248,1,0,1,88.0,88
249,1,0,1,88.0,88
250,1,0,1,88.0,88
251,1,0,1,88.0,88
252,1,0,1,88.0,88
253,1,0,1,88.0,88
254,1,0,1,88.0,88
255,1,0,1,88.0,88
256,1,0,1,88.0,88
257,1,0,1,88.0,88
258,1,0,1,88.0,88
259,1,0,1,88.0,88
260,1,0,1,88.0,88
261,1,0,1,88.0,88
262,1,0,1,88.0,88
263,1,0,1,88.0,88
264,1,0,1,88.0,88
265,1,0,1,88.0,88
266,1,0,1,88.0,88
267,1,0,1,88.0,88
268,1,0,1,88.0,88
269,1,0,1,88.0,88
270,1,0,1,88.0,88
271,1,0,1,88.0,88
272,1,0,1,88.0,88
273,1,0,1,88.0,88
274,1,0,1,88.0,88
275,1,0,1,88.0,88
276,1,0,1,88.0,88
277,1,0,1,88.0,88
278,1,0,1,88.0,88
279,1,0,1,88.0,88
280,1,0,1,88.0,88
281,1,0,1,88.0,88
282,1,0,1,88.0,88
283,1,0,1,88.0,88
284,1,0,1,88.0,88
285,1,0,1,88.0,88
286,1,0,1,88.0,88
287,1,0,1,88.0,88
288,1,0,1,88.0,88
289,1,0,1,88.0,88
290,1,0,1,88.0,88
291,1,0,1,88.0,88
292,1,0,1,88.0,88
293,1,0,1,88.0,88
294,1,0,1,88.0,88
295,1,0,1,88.0,88
296,1,0,1,88.0,88
297,1,0,1,88.0,88
298,1,0,1,88.0,88
299,1,0,1,88.0,88
300,1,0,1,88.0,88
301,1,0,1,88.0,88
302,1,0,1,88.0,88
303,1,0,1,88.0,88
304,1,0,1,88.0,88
305,1,0,1,88.0,88
306,1,0,1,88.0,88
307,1,0,1,88.0,88
308,1,0,1,88.0,88
309,1,0,1,88.0,88
310,1,0,1,88.0,88
311,1,0,1,88.0,88
312,1,0,1,88.0,88
313,1,0,1,88.0,88
314,1,0,1,88.0,88
315,1,0,1,88.0,88
316,1,0,1,88.0,88
317,1,0,1,88.0,88
318,1,0,1,88.0,88
319,1,0,1,88.0,88
320,1,0,1,88.0,88
321,1,0,1,88.0,88
322,1,0,1,88.0,88
323,1,0,1,88.0,88
324,1,0,1,88.0,88
325,1,0,1,88.0,88
326,1,0,1,88.0,88
327,1,0,1,88.0,88
328,1,0,1,88.0,88
329,1,0,1,88.0,88
330,1,0,1,88.0,88
331,1,0,1,88.0,88
332,1,0,1,88.0,88
333,1,0,1,88.0,88
334,1,0,1,88.0,88
335,1,0,1,88.0,88
336,1,0,1,88.0,88
337,1,0,1,88.0,88
338,1,0,1,88.0,88
339,1,0,1,88.0,88
340,1,0,1,88.0,88
341,1,0,1,88.0,88
342,1,0,1,88.0,88
343,1,0,1,88.0,88
344,1,0,1,88.0,88
345,1,0,1,88.0,88
346,1,0,1,88.0,88
